url,filename,uppercaption,lowercaption,views,upvote
https://i.imgflip.com/zvk8t.jpg,And-then-I-said-Obama.jpg,when i close gitmo,i'm gonna say the detainees are now refugees,3641,0
https://i.imgflip.com/2aibng.jpg,And-then-I-said-Obama.jpg,and then i said i'm a christian,and i was born in hawaii,1748,4
https://i.imgflip.com/176c80.jpg,And-then-I-said-Obama.jpg,then we will create riots in the streets,so i can declare martial law,1331,0
https://i.imgflip.com/x9oe1.jpg,And-then-I-said-Obama.jpg,and then i said,"""we have the strongest economy in the world!!""",1181,13
https://i.imgflip.com/182cdl.jpg,And-then-I-said-Obama.jpg,when i tell the democrats a joke,"they all go ""baaaah!""",1768,0
https://i.imgflip.com/16ihwd.jpg,And-then-I-said-Obama.jpg,and then i told them that due process was constitutional for guantanamo terrorists,but not for american citizens who want to buy guns,815,0
https://i.imgflip.com/25rjh8.jpg,And-then-I-said-Obama.jpg,and then they said,that i wanted to take their guns and become president for life,2348,0
https://i.imgflip.com/121ngp.jpg,And-then-I-said-Obama.jpg,and then i said,"that i will ""help with the isis problem"" and ""cut taxes""",1052,8
https://i.imgflip.com/16ijx8.jpg,And-then-I-said-Obama.jpg,and then i said: there would be one good thing about trump being president,guantanamo would be shut down cause he's good at running water front property into the ground,1064,8
https://i.imgflip.com/284j64.jpg,And-then-I-said-Obama.jpg,"no pictures, no death certificate",and then we said ...ahahah....then we said we sent his body out to sea !!!!,4245,0
https://i.imgflip.com/1qek4t.jpg,And-then-I-said-Obama.jpg,when your friends  predict,trumps presidency,1302,0
https://i.imgflip.com/1k6a1j.jpg,And-then-I-said-Obama.jpg,and i told her,just tell them we need to pass it to find out what's in it,1143,5
https://i.imgflip.com/2lwof2.jpg,And-then-I-said-Obama.jpg,and then the guy said,"""this meme is copied from another one""",3053,0
https://i.imgflip.com/1e3619.jpg,And-then-I-said-Obama.jpg,so then my haters,"told democrats, 'it's time to work together'!",1024,5
https://i.imgflip.com/13jux1.jpg,And-then-I-said-Obama.jpg,then i said,don't listen to the voices that tell you that we can't trust our government!,848,6
https://i.imgflip.com/164y23.jpg,And-then-I-said-Obama.jpg,"then i said, we don't want to take your guns",we want you to resister them first and pass a lot of complex laws that are easy to break... then we will take them and put you in jail.,2051,8
https://i.imgflip.com/176lqh.jpg,And-then-I-said-Obama.jpg,then i said,i would improve race relations,1471,6
https://i.imgflip.com/162n5v.jpg,And-then-I-said-Obama.jpg,we need common sense gun laws,and they think we have common sense!,435,5
https://i.imgflip.com/1610fh.jpg,And-then-I-said-Obama.jpg,then i told            the lgbt folks,"relax, your rights will be secured once we import a few million more muslims here",508,5
https://i.imgflip.com/1hzouc.jpg,And-then-I-said-Obama.jpg,an then i told the press,they needed to do their jobs and stop being sycophants,1009,4
https://i.imgflip.com/15bfhh.jpg,And-then-I-said-Obama.jpg,we were all watching football and someone  asked who made america great,and then i said obama!,485,5
https://i.imgflip.com/186ewf.jpg,And-then-I-said-Obama.jpg,"""then i was all like","you think i was bad wait till you see the two clowns on the ballot this year""",1082,4
https://i.imgflip.com/1g5cc0.jpg,And-then-I-said-Obama.jpg,and then i told them,that this time the cia is absolutely right,3007,3
https://i.imgflip.com/1k6a7i.jpg,And-then-I-said-Obama.jpg,and then i told her,just say it was a spontaneous protest to a video,1599,3
https://i.imgflip.com/1i8kc3.jpg,And-then-I-said-Obama.jpg,you should have seen the look on,hillary'a face when she opened her pardon envelope and the pages were blank!,1137,0
https://i.imgflip.com/1azlpa.jpg,And-then-I-said-Obama.jpg,i'm a socialist tyrant,yet i am disrespected by every other country but canada,1466,0
https://i.imgflip.com/yw59x.jpg,And-then-I-said-Obama.jpg,and then i said i'm gonna f america up good,since  this is my last year!,874,0
https://i.imgflip.com/1e57a8.jpg,And-then-I-said-Obama.jpg,then i said if you like your doctor,you get to keep your doctor!,2381,3
https://i.imgflip.com/1w6wky.jpg,And-then-I-said-Obama.jpg,trump thinks he could be president,"""trump will never be president""!",1659,3
https://i.imgflip.com/1ammsy.jpg,And-then-I-said-Obama.jpg,"obamas america      forces americans to get insurance they still can't  afford, or fine them for not having any, while raising premiums in 2017","but gives it away for free to 13 million illegal aliens and refugees, including the over 100k he wants to resettle next year, and no social security raise for elderly and military pay cuts, and veterans suffering",1930,4
https://i.imgflip.com/1uk436.jpg,And-then-I-said-Obama.jpg,after we denied them love,they actually thanked us,890,2
https://i.imgflip.com/13199o.jpg,And-then-I-said-Obama.jpg,then i said,to put the law breaker outlaw harriot tubman on the 20 dollar bill!,680,0
https://i.imgflip.com/16uyw7.jpg,And-then-I-said-Obama.jpg,when you said that,trump would be president,496,3
https://i.imgflip.com/168b2k.jpg,And-then-I-said-Obama.jpg,i told her to redact the orlando 911 transcript,because i c.a.i.r.,948,3
https://i.imgflip.com/2incyu.jpg,And-then-I-said-Obama.jpg,if you wonder what i'll be doing,once the civil war get started,1218,1
https://i.imgflip.com/14j50l.jpg,And-then-I-said-Obama.jpg,"then i said, of course you common folk",pick the presidential candidates! what on earth would make you think you didn't?,546,3
https://i.imgflip.com/1319eh.jpg,And-then-I-said-Obama.jpg,then,i brought rick ross into the white house to talk about how to keep at risk kids outta trouble!,866,5
https://i.imgflip.com/xxpca.jpg,And-then-I-said-Obama.jpg,and then i said,''terrorists are humans too!'',470,4
https://i.imgflip.com/1clua6.jpg,And-then-I-said-Obama.jpg,and then i told them,that i've been a good president,1743,4
https://i.imgflip.com/1awhq2.jpg,And-then-I-said-Obama.jpg,blame our problems on congress,they all hate me,745,2
https://i.imgflip.com/16z1hx.jpg,And-then-I-said-Obama.jpg,we sat vince foster's family,at the same table as the comey's,565,2
https://i.imgflip.com/16wd4d.jpg,And-then-I-said-Obama.jpg,we're spying on these idiots,while they're celebrating their freedom! happy 4th! -robin hood,780,2
https://i.imgflip.com/114xt2.jpg,And-then-I-said-Obama.jpg,and they believed,i wouldn't wanna play with drones,350,2
https://i.imgflip.com/11mlmr.jpg,And-then-I-said-Obama.jpg,and then he told me,"""sir, you have to have some priorities""",642,2
https://i.imgflip.com/10igza.jpg,And-then-I-said-Obama.jpg,and then he wanted to go to the restroom,right in the middle of the lesson,495,2
https://i.imgflip.com/yvq4w.jpg,And-then-I-said-Obama.jpg,then i said,this is my last year,426,4
https://i.imgflip.com/38l7ll.jpg,And-then-I-said-Obama.jpg,me and the boys when one of us says that,they actually think they have a career in music or singing,2085,0
https://i.imgflip.com/1eqsgs.jpg,And-then-I-said-Obama.jpg,"and then i said, ""thanksgiving dinner""","""i thought they said 'pranks giving winner,' you know, like how the past eight years have been one big prank on america?""",1373,4
https://i.imgflip.com/1le2pp.jpg,And-then-I-said-Obama.jpg,and              then i said,what's your email?,895,1
https://i.imgflip.com/1da42s.jpg,And-then-I-said-Obama.jpg,and then she told me to,stop posting trumps own words,264,1
https://i.imgflip.com/1b7iks.jpg,And-then-I-said-Obama.jpg,hillary clinton,you can continue my socialist policies!,547,1
https://i.imgflip.com/1adrpb.jpg,And-then-I-said-Obama.jpg,she said my change was $6.66,and i was like.. wow that was a good year,353,1
https://i.imgflip.com/17hizz.jpg,And-then-I-said-Obama.jpg,that moment when you say,and then i met this guy called corbyn !!!,472,1
https://i.imgflip.com/16tk0k.jpg,And-then-I-said-Obama.jpg,that awkward moment when,you make a joke and everyone looks at you pretending it's funny,776,1
https://i.imgflip.com/1178bs.jpg,And-then-I-said-Obama.jpg,they asked what we were gonna use to stop isis,"and i said ""deez nuts""",216,2
https://i.imgflip.com/z9pzj.jpg,And-then-I-said-Obama.jpg,"they said, ""you can't appoint a replacement for scalia now""","and then i said, ""here, have a black lesbian replacement""",997,3
https://i.imgflip.com/102e79.jpg,And-then-I-said-Obama.jpg,damn daniel,back at it again with the white man!,1041,0
https://i.imgflip.com/19tjiq.jpg,And-then-I-said-Obama.jpg,i made americans pay hundreds of dollars,just for health care,137,1
https://i.imgflip.com/11hbqk.jpg,And-then-I-said-Obama.jpg,& then the republicans wonder,why we don't take their presidential nominees seriously,217,1
https://i.imgflip.com/1d4xze.jpg,And-then-I-said-Obama.jpg,peter said,he was going to be in keto by friday,714,0
https://i.imgflip.com/1gp087.jpg,And-then-I-said-Obama.jpg,and then i said,i could have beaten trump. and i think the media actually believed me,339,0
https://i.imgflip.com/26zk42.jpg,And-then-I-said-Obama.jpg,their answer to me was trump,he's a complete idiot,215,0
https://i.imgflip.com/1bcn7m.jpg,And-then-I-said-Obama.jpg,i was worried there for a second that trump could become president,but then i saw the debate!!,540,3
https://i.imgflip.com/1b7ipe.jpg,And-then-I-said-Obama.jpg,and then i vetoed the bill that will allow families of 9/11 victims to sue saudi arabia,just so saudi arabia can kill more helpless americans,1001,0
https://i.imgflip.com/3rawee.jpg,And-then-I-said-Obama.jpg,when trump wanted,to be president,406,0
https://i.imgflip.com/62enl4.jpg,Angry-Man-pointing-at-hand.png,me trying,me trying to get points,668,1
https://i.imgflip.com/5xb5ua.jpg,Angry-Man-pointing-at-hand.png,you: working overtime,"gov’t: hand-over, a bigger slice",1322,1
https://i.imgflip.com/5lu2q9.jpg,Angry-Man-pointing-at-hand.png,when people are getting offered actual money to get vaccinated and they're still refusing:,me,3355,0
https://i.imgflip.com/3xdzok.jpg,Angry-Man-pointing-at-hand.png,country:(discovers oil),the u.s.a:,5337,5
https://i.imgflip.com/60u9em.jpg,Angry-Man-pointing-at-hand.png,nobody my brain at 3:oo am:,holding up your hand is the most disrespectful thing you can do because you are technacly holding up a middle finger from pretty much every country,208,0
https://i.imgflip.com/5wfrvc.jpg,Cabin-the-the-woods.jpg,who had alec baldwin framed by,lone gunman on the grassy knoll for december?,446,3
https://i.imgflip.com/5ytujp.jpg,Cabin-the-the-woods.jpg,who had 6th booster,by the end of 2022??,314,2
https://i.imgflip.com/5l7b1r.jpg,Cabin-the-the-woods.jpg,who had red and black stalker with stick,for last night?,759,2
https://i.imgflip.com/4epz4c.jpg,Cabin-the-the-woods.jpg,who had firenado,for september,89703,0
https://i.imgflip.com/4leehd.jpg,Cabin-the-the-woods.jpg,who had hammerhead worms,for november?,1485,6
https://i.imgflip.com/4j6p18.jpg,Cabin-the-the-woods.jpg,who had,a snowstorm in october?,1083,0
https://i.imgflip.com/4ms25z.jpg,Cabin-the-the-woods.jpg,ok! who had zombies and,mummies in december ?,692,3
https://i.imgflip.com/49svbo.jpg,Cabin-the-the-woods.jpg,who had evil chinese seeds,for july?,1253,3
https://i.imgflip.com/4kcvny.jpg,Cabin-the-the-woods.jpg,who had mutant,cloned crayfish?,559,2
https://i.imgflip.com/48s0o4.jpg,Cabin-the-the-woods.jpg,who had big biting rats,for july?,690,0
https://i.imgflip.com/4aurv7.jpg,Cabin-the-the-woods.jpg,who had onion poisoning,for august?,952,2
https://i.imgflip.com/4sjdtu.jpg,Cabin-the-the-woods.jpg,who had,lockdown 3.0?,444,1
https://i.imgflip.com/47sp02.jpg,Cabin-the-the-woods.jpg,this week in 2020:,who had resurgence of bubonic plague?,1482,1
https://i.imgflip.com/64v6bg.jpg,Cabin-the-the-woods.jpg,who had ebola down,for february?,53,0
https://i.imgflip.com/4umdmb.jpg,Cabin-the-the-woods.jpg,"okay, who had bon jovi",murders a beatles classic on day one?,183,0
https://i.imgflip.com/4esaab.jpg,Cabin-the-the-woods.jpg,who had california wildfire,death by smoke suffocation ?,338,0
https://i.imgflip.com/4e8jnm.jpg,Cabin-the-the-woods.jpg,"ok, who had",‘day after tomorrow’ weather for september?,511,0
https://i.imgflip.com/4bxnma.jpg,Cabin-the-the-woods.jpg,america:,gentlemen we have news,366,0
https://i.imgflip.com/4b3q8q.jpg,Cabin-the-the-woods.jpg,who had derecho,for august 2020,567,0
https://i.imgflip.com/4cfb85.jpg,Cabin-the-the-woods.jpg,"okay, who had herpes flare up",for august?,348,0
https://i.imgflip.com/57t83r.jpg,Wise-guys-laughing.jpg,when the cops arrested duggar there toys all over the house,he said he was testing them before he donated them to the toys for totes drive.,875,1
https://i.imgflip.com/4ln8kc.jpg,Wise-guys-laughing.jpg,and then he said the t2 was,the best man he'd ever handled,1256,4
https://i.imgflip.com/1hbigy.jpg,Wise-guys-laughing.jpg,podesta opened a phishing link in an email,"and the dnc thinks that's ""hacking the election""",6393,0
https://i.imgflip.com/2nr93f.jpg,Wise-guys-laughing.jpg,you thought your opinion mattered,it doesn't...!,1184,0
https://i.imgflip.com/263tlp.jpg,Wise-guys-laughing.jpg,usps workers when they see,"a ""fragile"" label on a box",1369,4
https://i.imgflip.com/3j3u9j.jpg,Wise-guys-laughing.jpg,just took a dna test turns out,i'm 100% a dick,740,4
https://i.imgflip.com/2950l6.jpg,Wise-guys-laughing.jpg,all those anti trumpers think,they have a law degree from streetcorner law university,308,3
https://i.imgflip.com/28q71e.jpg,Wise-guys-laughing.jpg,all those clowns keep saying,that trump is in trouble...,323,3
https://i.imgflip.com/28q4y2.jpg,Wise-guys-laughing.jpg,and they kept saying,that trump was in trouble,503,3
https://i.imgflip.com/28fbkl.jpg,Wise-guys-laughing.jpg,of course the looney left doesn't understand,their numbers only go up 10 fingers and 10 toes.,516,4
https://i.imgflip.com/2c2ilu.jpg,Wise-guys-laughing.jpg,look at the obama supporters,that's just a huge load of candy asses.,468,2
https://i.imgflip.com/29bmn5.jpg,Wise-guys-laughing.jpg,did you hear the crowd chant,"cnn sucks, cnn sucks, cnn sucks??",345,0
https://i.imgflip.com/2c2ij0.jpg,Wise-guys-laughing.jpg,"look what's there, hillary supporters",that's a huge load of chicken shit!,246,1
https://i.imgflip.com/2b3hvo.jpg,Wise-guys-laughing.jpg,everytime trump says something,it triggers instant asinine   comments from the left.,215,1
https://i.imgflip.com/2aucxw.jpg,Wise-guys-laughing.jpg,as soon as the airports switched off cnn,they lost 98% of their fan base.,162,1
https://i.imgflip.com/28exa1.jpg,Wise-guys-laughing.jpg,how many democrats does it take to,screw up a country? about 61,347,1
https://i.imgflip.com/17fe1d.jpg,Wise-guys-laughing.jpg,when they ask you,what's so special about the beatles,2092,0
https://i.imgflip.com/2gz2i6.jpg,Wise-guys-laughing.jpg,the anti trump left reminds,"me of a song, pinball wizard by the who. they're deaf, dumb, and blind.",671,0
https://i.imgflip.com/zkdbn.jpg,Wise-guys-laughing.jpg,somebody thought you,wouldn't catch them in the act !,5857,0
https://i.imgflip.com/1a8y9j.jpg,Wise-guys-laughing.jpg,someone suggested i shouldn't autodraft,...when i had dinner plans with my in-laws,1463,0
https://i.imgflip.com/29qtkw.jpg,Wise-guys-laughing.jpg,and then jake trapper asked,do you think there's a credibility crisis in the white house?,143,1
https://i.imgflip.com/3vb14c.jpg,Wise-guys-laughing.jpg,when everyone starts asking if you can still fish,and you realize the lakes will be wide open,125,0
https://i.imgflip.com/3i8f3u.jpg,Wise-guys-laughing.jpg,british english makes you,sound masculine,393,0
https://i.imgflip.com/2bjfqz.jpg,Wise-guys-laughing.jpg,just another dipshit out of,cnn's vast clown pool!!!,125,0
https://i.imgflip.com/267v6q.jpg,Wise-guys-laughing.jpg,you show them a quote from the bible,and they come back with a review from snoops  contradicting it,340,0
https://i.imgflip.com/1ymy4n.jpg,Wise-guys-laughing.jpg,yet again we've been promised,sunshine coast rail duplication,440,0
https://i.imgflip.com/65amvq.jpg,HighDrunk-guy.jpg,"if we have watermelon shouldn't we have firemelon, earthmelon and airmelon",the four elemelons,188,0
https://i.imgflip.com/655u6m.jpg,HighDrunk-guy.jpg,when little billy,finds out where his dad hides his secret stash of white skittles with numbers on them,160,2
https://i.imgflip.com/4fv7is.jpg,HighDrunk-guy.jpg,the irony about grammarly,is that grammarly is not a real word,8776,0
https://i.imgflip.com/5nwm47.jpg,HighDrunk-guy.jpg,i mixed pfizer and  johnson &johnson,what a rush !,1222,6
https://i.imgflip.com/5ktpwq.jpg,HighDrunk-guy.jpg,can star trek sue the writer of moby dick,for stealing khan's lines from 'the wrath of khan?',1126,3
https://i.imgflip.com/5od4mh.jpg,HighDrunk-guy.jpg,"bro, like, using crutches",is just rowing on land,744,2
https://i.imgflip.com/5jjq4u.jpg,HighDrunk-guy.jpg,i drank 3/4 of a bottle of cabernet,and 1/3 of a bottle of glenlivet,1077,3
https://i.imgflip.com/4kzp35.jpg,HighDrunk-guy.jpg,my poor knowledge of greek myths,has always been my achilles elbow,942,9
https://i.imgflip.com/57v0ia.jpg,HighDrunk-guy.jpg,can i have some,salad cream,575,1
https://i.imgflip.com/3vlpdo.jpg,HighDrunk-guy.jpg,they said wearing gloves and a mask to the grocery store was all you needed,"its a lie, everyone had cloths on",1057,4
https://i.imgflip.com/41lcdc.jpg,HighDrunk-guy.jpg,"violets are red, roses are blue","i’m seeing snowflakes, how bout you",590,2
https://i.imgflip.com/42pao8.jpg,HighDrunk-guy.jpg,me making a sobriety brag post,then breaking it that same day,462,1
https://i.imgflip.com/29dou4.jpg,HighDrunk-guy.jpg,i won’t have kids,i need to set a good example for my grandkids,785,4
https://i.imgflip.com/2z12g5.jpg,HighDrunk-guy.jpg,where did you put the,squeeze scissors,1518,2
https://i.imgflip.com/24hqhz.jpg,HighDrunk-guy.jpg,today is fat tuesday,and i have been drunk since last tuesday,10442,4
https://i.imgflip.com/2gac6e.jpg,HighDrunk-guy.jpg,wadayamean i was speedin,i only  went 50 over the speed limit and killed 4 peeps,855,3
https://i.imgflip.com/3on7ld.jpg,HighDrunk-guy.jpg,when you dislocate your shoulder,but then you find it.,557,1
https://i.imgflip.com/1x42m6.jpg,HighDrunk-guy.jpg,change your wifi password to 2444666668888888,and tell people your wifi password is 12345678,2476,3
https://i.imgflip.com/239jph.jpg,HighDrunk-guy.jpg,ran over a cat on my way to work,totally messed up my rollerblades,4321,2
https://i.imgflip.com/31q8he.jpg,HighDrunk-guy.jpg,"st patricks day, the one day i dont get called a drunk","but,get called pothead, and shamrock smoker",792,1
https://i.imgflip.com/2b19me.jpg,HighDrunk-guy.jpg,a friend with weed,is a friend weneed,1817,1
https://i.imgflip.com/26fcr5.jpg,HighDrunk-guy.jpg,if an autonomous car gets caught in a programming loop,"will it just sit there, or keep wrecking over and over?",1712,1
https://i.imgflip.com/13726g.jpg,HighDrunk-guy.jpg,i'm not as think,as you drunk i am,709,1
https://i.imgflip.com/32abdz.jpg,HighDrunk-guy.jpg,not my elbow,"but, you know... my hand ankle",1230,0
https://i.imgflip.com/1osehm.jpg,HighDrunk-guy.jpg,the early worm,gets the bird,1083,0
https://i.imgflip.com/4ukyw3.jpg,HighDrunk-guy.jpg,i thought drinking hand sanitizer,would cure me from covid,60,0
https://i.imgflip.com/4277rj.jpg,HighDrunk-guy.jpg,i jamp out the window it was fine,because i had red bull and that gave me wings,232,0
https://i.imgflip.com/34j02g.jpg,HighDrunk-guy.jpg,pneumoultramicoscopicossilicovulcanoconioticos,"gets high on weed. ends up writting the longest portuguese word, while blushing of embaressement for not using an ""#""",515,0
https://i.imgflip.com/60zdg5.jpg,Confused-Lebowski.jpg,cannabis compounds stopped covid virus from infecting human cells in lab study,"yeah? well, you know, that's just like uh, your opinion, man.",226,3
https://i.imgflip.com/2gd532.jpg,Confused-Lebowski.jpg,"so you tell me that criticizing islam for terrorism is ""racist""","but bashing christianity for opposing gay marriage is just ""social justice""?",10465,0
https://i.imgflip.com/447dm7.jpg,Confused-Lebowski.jpg,is it because we haven't had a natural disaster lately,that we all decided we needed a few man-made ones instead?,3543,10
https://i.imgflip.com/5emp3s.jpg,Confused-Lebowski.jpg,my preferred pronoun,is “dude”,2111,1
https://i.imgflip.com/3rbuwt.jpg,Confused-Lebowski.jpg,all that legal stuff,"makes no sense, man",2876,8
https://i.imgflip.com/3syvli.jpg,Confused-Lebowski.jpg,right now people all over the country,realizing they could've been teleworking this whole damn time,4752,8
https://i.imgflip.com/4grvxy.jpg,Confused-Lebowski.jpg,"yeah, well, you know tax evasion","is really, like, theft avoidance, man",2233,3
https://i.imgflip.com/znsyv.jpg,Confused-Lebowski.jpg,apparently when you treat people the same way they treat you,they get offended,11717,0
https://i.imgflip.com/3pkdh0.jpg,Confused-Lebowski.jpg,ain't it weird how many vegans,own meat-eating pets?,2074,7
https://i.imgflip.com/4b83yb.jpg,Confused-Lebowski.jpg,that's like your opinion man,where is the data?,1290,3
https://i.imgflip.com/2pnb8l.jpg,Confused-Lebowski.jpg,i was so offended by baby it's cold outside,i had to put on straight outta compton to relax,3357,12
https://i.imgflip.com/2qeejz.jpg,Confused-Lebowski.jpg,when someone misspells,lynyrd skynyrd,3281,0
https://i.imgflip.com/306kmd.jpg,Confused-Lebowski.jpg,i’m a barbie girl,in a barbie world,2171,0
https://i.imgflip.com/358hrz.jpg,Confused-Lebowski.jpg,i respect 3  people in my life and i have a family of 5,do you really feel lucky enough to be one of those 3,2495,0
https://i.imgflip.com/4plrba.jpg,Confused-Lebowski.jpg,"journalists with no medical degree say, ""follow the science!""","they wouldn't know science if it jumped up and bit them in the clunes,man.",1285,2
https://i.imgflip.com/1pw3k9.jpg,Confused-Lebowski.jpg,my wife suggested the threesome,not sure why she got mad seeing me with your twin sisters,5210,16
https://i.imgflip.com/4m72ob.jpg,Confused-Lebowski.jpg,her underwear so tight it makes four buttocks,- very picasso,779,1
https://i.imgflip.com/2719zb.jpg,Confused-Lebowski.jpg,20 years,the dude still abides,1341,0
https://i.imgflip.com/2s9xnq.jpg,Confused-Lebowski.jpg,"whoever said ""it's never to late to get what you want""",wasn't trying to get a hold of their dealer at 2:45am,1391,4
https://i.imgflip.com/2jjpvg.jpg,Confused-Lebowski.jpg,so you're telling me that turning a character white is horrendous like they did in the avatar last airbender movie,but turning a character black is the right thing to do like in harry potter?,2304,0
https://i.imgflip.com/49ihql.jpg,Confused-Lebowski.jpg,what is a,dude meme?,968,1
https://i.imgflip.com/1s156r.jpg,Confused-Lebowski.jpg,the dude would like,to bring back page 9 parties,2349,0
https://i.imgflip.com/20vdi5.jpg,Confused-Lebowski.jpg,you meme to tell me,"that downvotes are a bad thing, man",1168,6
https://i.imgflip.com/2dy1tv.jpg,Confused-Lebowski.jpg,what's going on in illegal immigrants' home country,where they're willing to risk their lives to cross 100's of miles of desert?,1090,0
https://i.imgflip.com/2gak9n.jpg,Confused-Lebowski.jpg,the meme,is in the title,847,4
https://i.imgflip.com/3n6kxc.jpg,Confused-Lebowski.jpg,i may have picked up corona virus,and dos equis virus and pacifico virus and modelo virus and . . .,17650,2
https://i.imgflip.com/xmxbq.jpg,Confused-Lebowski.jpg,shit,now i feel bad about what i said,7434,0
https://i.imgflip.com/1b927y.jpg,Confused-Lebowski.jpg,so what you're saying is,that molecular uploads to a quantum accelerator results in covalent hysteresis? no shit!,2482,0
https://i.imgflip.com/2ed6et.jpg,Confused-Lebowski.jpg,if i bet on a horse and the horse dies,do i get my money back?,911,0
https://i.imgflip.com/2ret2s.jpg,Confused-Lebowski.jpg,when you see the has nuddity tag on a movie case,but when you watch the movie you see no nudity,1158,0
https://i.imgflip.com/1akd5k.jpg,Confused-Lebowski.jpg,so is that like your opinion,or do you want to upgrade to facts?,1711,0
https://i.imgflip.com/1udkfo.jpg,Confused-Lebowski.jpg,"wait a damn minute, you're trying to tell me this is a democracy",when a fraction of 1% control all the propaganda that we use to make decisions? wtf,1117,0
https://i.imgflip.com/1zmjb6.jpg,Confused-Lebowski.jpg,i'm sorry,i can't hear over how awesome my beard is,2165,4
https://i.imgflip.com/1wh8og.jpg,Confused-Lebowski.jpg,you meme to tell me,"bottom feeders actually feed off the bottom, man",1789,3
https://i.imgflip.com/30a23v.jpg,Confused-Lebowski.jpg,i'm like,"still worthy, man",2018,1
https://i.imgflip.com/2f2ag1.jpg,Confused-Lebowski.jpg,i hate the musical eagles,but i love the philadelphia eagles,784,2
https://i.imgflip.com/2dd54q.jpg,Confused-Lebowski.jpg,people with tourettes,i wonder what makes them tic,4891,1
https://i.imgflip.com/1e78gd.jpg,Confused-Lebowski.jpg,when your new girlfriend comes over for dinner,and criticizes your momma's grits,891,0
https://i.imgflip.com/1am3sa.jpg,Confused-Lebowski.jpg,you came to this country for religious freedom,"but, you tell us we can't say ""merry christmas"" because it offends your religion?",1010,0
https://i.imgflip.com/179w7q.jpg,Confused-Lebowski.jpg,"yes, i might be a meme freak but i could also be a drug addict",do you even realize how lucky you are?,1178,3
https://i.imgflip.com/1aa744.jpg,Confused-Lebowski.jpg,you give me flak for picking depressing movies,and then you pick les miserables?,5107,2
https://i.imgflip.com/21i40b.jpg,Confused-Lebowski.jpg,who is this so-called,"""the wonderful wizard of oz""?",994,0
https://i.imgflip.com/205yes.jpg,Confused-Lebowski.jpg,when you look up to see the end of the pelloton commercial,and you missed the good parts,756,0
https://i.imgflip.com/232v7s.jpg,Confused-Lebowski.jpg,trump's presidency is a lot like bad mexican food,looks good at first but leaves you feeling hollow and empty inside,696,4
https://i.imgflip.com/1qsxci.jpg,Confused-Lebowski.jpg,no man,it's the principal of it,2241,1
https://i.imgflip.com/22r0jv.jpg,Confused-Lebowski.jpg,you meme to tell me,"that haiti isn't a sh!thole, man",863,1
https://i.imgflip.com/zj5lh.jpg,Confused-Lebowski.jpg,the dude abides,have a happy birthday lisa,6868,1
https://i.imgflip.com/1n3tkh.jpg,Confused-Lebowski.jpg,im the dude,who are you?,747,1
https://i.imgflip.com/2q74ak.jpg,Confused-Lebowski.jpg,that moment when,your confused and don't know what is going on,719,0
https://i.imgflip.com/4ywgnr.jpg,Confused-Lebowski.jpg,"well, like, that's",your opinion,140,1
https://i.imgflip.com/51oylk.jpg,Confused-Lebowski.jpg,many states are opening back up,florida: you mean you guys were closed??? #irishstew,192,0
https://i.imgflip.com/4vm5tc.jpg,Confused-Lebowski.jpg,i hear you talking and i understand the individual words,but when you put all of those words together you make absolutely no sense whatsoever,170,0
